2026-08-24T13:22:00.337-06:00 | [RELEASE] | evento_247 | tecla='a' | delta_ms=75
2026-08-24T13:22:00.496-06:00 | [PRESS] | evento_248 | tecla=Key.shift | delta_ms=159
2026-08-24T13:22:00.592-06:00 | [PRESS] | evento_249 | tecla='?' | delta_ms=95
2026-08-24T13:22:00.670-06:00 | [RELEASE] | evento_250 | tecla='?' | delta_ms=78
2026-08-24T13:22:00.774-06:00 | [RELEASE] | evento_251 | tecla=Key.shift | delta_ms=103
2026-08-24T13:22:00.792-06:00 | [PRESS] | evento_252 | tecla=Key.enter | delta_ms=18
2026-08-24T13:22:00.906-06:00 | [RELEASE] | evento_253 | tecla=Key.enter | delta_ms=113
2026-08-24T13:22:25.512-06:00 | [PRESS] | evento_254 | tecla='t' | delta_ms=24606
2026-08-24T13:22:25.556-06:00 | [PRESS] | evento_255 | tecla='e' | delta_ms=43
2026-08-24T13:22:25.600-06:00 | [RELEASE] | evento_256 | tecla='t' | delta_ms=43
2026-08-24T13:22:25.681-06:00 | [RELEASE] | evento_257 | tecla='e' | delta_ms=81
2026-08-24T13:22:25.692-06:00 | [PRESS] | evento_258 | tecla='n' | delta_ms=11
2026-08-24T13:22:25.816-06:00 | [RELEASE] | evento_259 | tecla='n' | delta_ms=124
2026-08-24T13:22:25.823-06:00 | [PRESS] | evento_260 | tecla='g' | delta_ms=7
2026-08-24T13:22:25.897-06:00 | [PRESS] | evento_261 | tecla='o' | delta_ms=73
2026-08-24T13:22:25.922-06:00 | [RELEASE] | evento_262 | tecla='g' | delta_ms=24
2026-08-24T13:22:26.022-06:00 | [RELEASE] | evento_263 | tecla='o' | delta_ms=100
2026-08-24T13:22:26.048-06:00 | [PRESS] | evento_264 | tecla=Key.space | delta_ms=25
2026-08-24T13:22:26.111-06:00 | [RELEASE] | evento_265 | tecla=Key.space | delta_ms=63
2026-08-24T13:22:26.667-06:00 | [PRESS] | evento_266 | tecla='None' | delta_ms=556
2026-08-24T13:22:26.832-06:00 | [RELEASE] | evento_267 | tecla='None' | delta_ms=164
2026-08-24T13:22:26.841-06:00 | [PRESS] | evento_268 | tecla='None' | delta_ms=9
2026-08-24T13:22:26.891-06:00 | [RELEASE] | evento_269 | tecla='None' | delta_ms=50
2026-08-24T13:22:27.316-06:00 | [PRESS] | evento_270 | tecla=Key.enter | delta_ms=424
2026-08-24T13:22:27.409-06:00 | [RELEASE] | evento_271 | tecla=Key.enter | delta_ms=93
2026-08-24T13:22:28.467-06:00 | [PRESS] | evento_272 | tecla=Key.tab | delta_ms=1057
2026-08-24T13:22:28.472-06:00 | [PRESS] | evento_273 | tecla=Key.alt_l | delta_ms=4
2026-08-24T13:22:28.521-06:00 | [RELEASE] | evento_274 | tecla=Key.alt_l | delta_ms=49
2026-08-24T13:22:28.560-06:00 | [RELEASE] | evento_275 | tecla=Key.tab | delta_ms=39
2026-08-24T13:22:29.418-06:00 | [PRESS] | evento_276 | tecla=Key.alt_l | delta_ms=857
2026-08-24T13:22:29.538-06:00 | [PRESS] | evento_277 | tecla=Key.tab | delta_ms=120
2026-08-24T13:22:29.616-06:00 | [RELEASE] | evento_278 | tecla=Key.alt_l | delta_ms=78
2026-08-24T13:22:29.677-06:00 | [RELEASE] | evento_279 | tecla=Key.tab | delta_ms=61
2026-08-24T13:23:03.824-06:00 | [PRESS] | evento_280 | tecla=Key.cmd | delta_ms=34146
